user,post_id,created_time,message
Bill Gates,216311481960_10153145255206961,2015-09-23T12:25:19+0000,This report confirms what I've seen on the ground
Bill Gates,216311481960_10153144970071961,2015-09-23T06:35:07+0000,Health is getting better around the world but the progress is uneven.
Bill Gates,216311481960_10153144222756961,2015-09-22T19:26:40+0000,A 21st-century Marshall Plan for Africa?
Bill Gates,216311481960_10153137492111961,2015-09-18T22:36:06+0000,Why should we believe that this year's Global Goals will save live?
Bill Gates,216311481960_10153136594981961,2015-09-18T12:50:35+0000,I visit this website a few times every month and its a treasure trove of information.
Bill Gates,216311481960_10153135810421961,2015-09-18T00:20:59+0000,The brilliant Chris Murray explains how we know that investments to save moms are making a big impact:
Bill Gates,216311481960_10153134805986961,2015-09-17T12:25:23+0000,"I've been a big fan of Chris Murray's work for more than a decade, which is why I wanted to help bring him to Seattle"
Bill Gates,216311481960_10153134376066961,2015-09-17T05:05:15+0000,How do the world's children die? This chart could look very different in 15 year
Bill Gates,216311481960_10153133841421961,2015-09-16T22:38:21+0000,"Nobody wants to die, but in an ideal world, we would have all of the deaths over age 80, and no deaths in children"
Bill Gates,216311481960_10153132953826961,2015-09-16T12:10:40+0000,See if you can beat my score on this quiz about the world.
Bill Gates,216311481960_10153131698091961,2015-09-15T19:54:22+0000,"If you haven't heard of the Global Goals yet, you will soon. They're a big part of this month's United Nations meeting in New York"
Bill Gates,216311481960_10153125609616961,2015-09-12T14:50:44+0000,What fact would scientists want humanity to know if civilization was destroyed
Bill Gates,216311481960_10153124361656961,2015-09-11T20:03:25+0000,Tune in to Think It Up tonight to find out how you can support teachers and student
Bill Gates,216311481960_10153123635821961,2015-09-11T12:25:35+0000,More than a billion people live without electricity. This is what their world looks like...
Bill Gates,216311481960_10153121513776961,2015-09-10T08:05:37+0000,The Guardian does a good job putting a face on the extraordinary progress we've seen in Africa over the last decade. And some of the challenges people there still confront
Bill Gates,216311481960_10153120332761961,2015-09-09T20:36:53+0000,Why are we impatient optimists?
Bill Gates,216311481960_10153118310671961,2015-09-08T21:05:15+0000,"For the world's poorest farmers, life is a high-wire act without safety nets. Now, climate change is set to add a fresh layer of risk to their live?"
Bill Gates,216311481960_10153112747711961,2015-09-05T14:21:11+0000,Edible saltwater batteries?
Bill Gates,216311481960_10153110884566961,2015-09-04T12:25:35+0000,A good example from Hawaii of the kind of energy innovation we should be investing in.
Bill Gates,216311481960_10153110017421961,2015-09-03T22:48:18+0000,"Here are some simple, innovative ways poor farmers can adapt to climate change:"
Bill Gates,216311481960_10153109686036961,2015-09-03T18:50:12+0000,TBT to my early days at Harvard.
Bill Gates,216311481960_10153107683596961,2015-09-02T17:27:52+0000,"Wilbroda's farm may be small, but she has big dreams for her family. She's getting the kind of support that will be necessary to help millions of small farmers deal with climate change:"
Bill Gates,216311481960_10153107367211961,2015-09-02T13:11:03+0000,How hard will different countries get hit by climate change?
Bill Gates,216311481960_10153105674501961,2015-09-01T17:22:26+0000,Who will suffer most from climate change?
Bill Gates,216311481960_10153104033801961,2015-08-31T22:56:59+0000,"It sounds small, but reinventing this form could have a huge impact on college students' lives "
